,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
0,3,9,2,1,1,2,156,2,1,0,1,130,1408,0
1,1,16,1,1,1,1,0,1,1,0,0,11,430,1
2,6,22,12,1,2,3,196,2,0,0,1,260,853,0
3,6,16,12,1,2,3,227,3,0,0,0,259,1056,0
4,2,1,1,1,1,1,0,1,1,0,1,27,939,0
5,2,23,0,1,1,1,0,1,1,0,1,0,1048,0
6,6,14,12,1,2,3,196,2,0,0,1,208,696,0
7,6,11,12,1,2,3,196,2,0,0,1,216,775,0
8,8,12,11,1,2,3,150,4,0,0,1,119,1580,0
9,2,30,1,1,1,1,0,1,0,0,1,17,696,0
10,2,0,1,1,1,1,100,1,0,0,1,4,352,0
11,2,14,1,1,1,1,0,1,1,0,1,153,994,1
12,4,4,18,1,0,2,102,1,1,1,1,73,1314,0
13,8,0,1,3,1,7,0,1,0,0,1,0,4303,0
14,4,26,1,1,2,3,0,4,1,0,0,231,1080,0
15,4,11,7,1,1,1,156,2,0,1,1,41,900,0
16,11,8,8,2,3,6,156,5,1,1,1,238,1549,0
17,6,0,7,2,3,3,156,2,0,1,1,100,939,0
18,3,0,1,1,2,2,156,2,1,0,1,22,626,0
19,4,0,2,1,1,2,313,4,1,1,1,34,782,0
20,2,0,2,,1,1,0,1,0,0,0,20,1056,0
21,3,26,18,1,1,1,117,1,1,0,1,15,1001,0
22,10,30,18,3,3,6,141,3,1,1,1,102,2253,0
23,5,16,1,2,3,4,156,2,1,0,1,226,1158,0
24,10,0,1,3,5,5,0,1,0,1,0,2,2504,0
25,1,0,6,1,1,1,80,1,1,0,1,5,297,0
26,1,29,2,1,1,1,0,1,0,0,0,40,485,0
27,2,0,1,1,1,1,0,1,0,0,1,0,1017,0
28,3,26,18,1,1,2,117,1,1,0,1,18,782,0
29,5,21,3,1,1,3,130,2,1,1,1,217,548,0
30,6,7,2,1,2,2,99,4,1,0,1,434,1001,1
31,4,0,1,1,1,2,274,2,1,0,1,10,1244,0
32,2,30,16,1,1,1,0,1,0,0,1,74,383,0
33,3,15,2,2,2,2,0,1,1,0,1,20,1322,0
34,7,18,1,1,3,4,150,5,0,0,1,197,1103,1
35,4,2,4,1,1,2,156,2,1,1,1,170,868,0
36,2,0,1,1,1,1,0,2,0,0,1,0,297,0
37,3,22,1,1,2,2,78,2,1,0,1,60,540,1
38,6,0,2,1,2,2,120,2,1,0,1,30,579,0
39,2,11,7,1,1,1,156,2,0,0,1,20,704,0
40,4,0,1,1,1,2,200,2,1,1,1,189,876,1
41,4,30,2,1,1,1,0,2,1,0,1,8,798,0
42,3,4,2,1,2,2,0,1,0,0,1,12,1001,0
43,2,0,1,1,0,1,200,2,1,0,1,2,751,0
44,2,8,3,1,0,1,0,2,0,1,1,173,540,0
45,2,0,1,1,1,1,0,1,0,0,1,8,876,0
46,1,9,1,1,1,1,0,1,0,0,1,222,258,1
47,8,12,48,3,1,8,900,1,0,1,1,110,172,0
48,8,26,48,3,1,8,900,1,0,1,1,188,282,0
49,8,30,48,3,1,8,900,1,0,1,1,43,282,0
50,8,30,48,3,1,8,900,1,0,1,1,25,282,0
51,8,27,48,3,1,8,900,1,0,1,1,155,282,0
52,8,30,48,3,1,8,900,1,0,1,1,28,282,0
53,5,25,4,1,1,4,385,4,0,1,1,8,1760,1
54,5,15,3,1,1,2,160,2,1,1,1,292,454,0
55,2,30,10,1,1,1,100,1,0,0,1,3,399,0
56,3,26,1,1,0,1,156,2,0,0,1,2,1174,0
57,3,21,4,1,1,1,385,2,0,1,1,22,1158,1
58,3,24,4,1,1,2,385,2,0,1,1,14,876,1
59,2,22,4,1,1,1,0,2,0,1,1,52,642,1
60,5,0,1,2,3,3,400,5,0,0,1,84,1197,0
61,12,13,11,2,3,5,150,6,0,0,1,151,1651,0
62,4,0,1,1,2,3,102,4,0,0,0,11,618,0
63,4,3,4,1,1,1,500,4,0,1,1,379,759,0
64,2,0,1,1,1,1,300,1,0,1,1,28,1197,0
65,10,30,1,1,3,1,180,4,0,0,0,19,1001,0
66,1,13,6,2.5,1,1,230,1,1,1,1,142,227,0
67,6,23,10,1,2,2,150,4,1,0,1,162,1001,0
68,2,12,6,3,1,1,100,1,1,1,1,36,454,0
69,4,30,3,1,1,2,196,2,0,0,0,171,696,0
70,3,30,9,1.5,1,1,150,2,0,0,1,107,297,0
71,2,10,5,1,0,1,0,1,1,0,1,181,853,1
72,3,30,9,1.5,1,1,150,2,0,0,1,150,352,0
73,3,19,9,1.5,1,1,150,2,0,0,1,134,297,0
74,3,30,9,1.5,1,1,150,2,0,0,1,136,297,0
75,2,16,9,1.5,1,1,150,2,0,0,1,207,297,0
76,3,2,1,2,1,2,100,1,0,0,1,0,399,0
77,11,5,8,3,4,7,156,6,1,1,1,244,1862,0
78,6,30,8,1.5,1,4,200,2,0,1,1,0,649,0
79,2,1,9,1.5,1,1,150,2,0,0,1,30,297,0
80,3,0,7,1,1,1,180,2,1,0,1,210,383,0
81,4,20,7,1,1,1,180,2,1,0,1,155,383,0
82,3,1,7,1,1,1,180,2,1,0,1,113,336,0
83,2,27,7,1,1,1,180,2,1,0,1,189,336,0
84,5,14,4,1,1,2,100,2,1,0,1,8,321,0
85,2,1,4,1,1,2,100,2,1,0,1,17,391,0
86,3,30,9,1.5,1,1,150,2,0,0,1,19,501,0
87,5,30,9,1.5,1,1,150,2,0,0,1,24,454,0
88,4,1,9,1.5,1,1,150,2,0,0,1,22,469,0
89,8,12,19,1,2,3,80,3,1,0,0,78,853,0
90,2,16,4,1,1,1,100,2,1,0,1,15,383,0
91,1,2,4,1,1,1,101,1,1,0,1,41,282,0
92,6,27,9,1,2,4,100,4,0,1,1,217,853,0
93,2,0,2,1,1,1,0,1,0,0,1,7,1009,0
94,6,2,6,1,2,2,150,4,1,0,1,171,829,0
95,3,0,1,1,2,2,200,2,1,0,1,14,720,0
96,6,26,6,1,2,2,150,4,1,0,1,154,2003,0
97,1,27,2,1,1,1,0,1,1,0,1,38,352,0
98,7,0,1,2,3,6,156,4,0,0,1,5,5085,0
99,2,0,8,1,1,1,0,1,0,0,1,198,329,0
100,6,10,15,1,2,1,0,1,1,0,1,140,1095,0
101,4,1,1,1,2,3,200,4,1,1,1,320,1346,0
102,1,8,2,1,1,1,0,1,1,1,1,186,117,0
103,6,27,9,1,2,2,100,4,0,1,0,246,1001,0
104,2,30,16,1,1,1,0,1,0,0,1,113,329,0
105,3,0,2,1,2,2,0,3,1,0,0,28,1001,0
106,2,30,1,1,0,2,196,1,1,0,1,20,978,1
107,2,0,1,1,1,1,0,1,0,1,0,0,203,0
108,2,2,1,1,1,1,94,2,0,1,1,36,900,0
109,10,29,4,1,2,3,120,7,0,0,1,71,829,0
110,4,8,19,1,1,1,80,2,1,0,1,91,602,0
111,1,30,9,2,1,1,0,2,0,0,0,173,102,0
112,1,30,9,2,1,1,0,2,0,0,1,132,102,0
113,10,6,8,2,3,6,156,5,1,1,1,240,1706,0
114,3,0,1,1,1,2,240,2,0,0,1,27,767,0
115,3,1,1,1,2,2,141,2,1,0,1,113,665,1
116,1,30,2,1,1,1,0,1,0,1,1,1,399,0
117,3,7,2,1,1,1,100,1,1,0,0,74,782,1
118,2,3,1,1,1,1,203,1,1,0,1,478,305,1
119,3,29,1,1,1,2,100,1,0,0,1,0,501,0
120,1,30,9,1,1,1,300,1,1,0,1,11,876,0
121,8,9,3,1,2,4,150,4,1,1,0,154,1127,0
122,3,22,19,1,1,2,75,2,1,0,1,34,548,0
123,3,0,1,1,1,1,0,1,0,0,1,7,3912,0
124,2,10,2,1,1,1,100,2,0,1,1,51,250,1
125,4,12,3,1,2,2,250,4,0,1,1,285,876,1
126,4,7,1,1,2,2,100,2,1,0,1,3,900,0
127,4,7,3,1,2,2,250,4,0,1,1,320,876,1
128,1,30,142,1,1,1,0,1,0,0,1,2,180,0
129,4,23,1,1,1,2,0,1,1,1,1,2,7824,0
130,4,7,4,1,1,3,78,4,0,0,1,120,360,0
131,2,11,6,1,0,1,40,1,1,1,1,249,462,0
132,8,10,10,1,3,4,100,3,0,1,1,349,1150,1
133,7,10,10,1,2,4,100,3,0,1,1,363,1127,1
134,3,5,2,1,2,2,235,3,1,1,1,56,1134,0
135,2,0,2,1,1,1,117,1,1,1,1,5,383,0
136,2,21,1,1,1,1,150,2,0,0,1,35,837,0
137,5,30,1,1,2,3,100,3,0,0,0,85,978,0
138,2,30,0,1,1,1,0,1,0,0,1,0,1001,0
139,1,30,10,1,1,1,100,1,0,0,1,1,477,0
140,3,30,4,1,0,2,100,1,1,0,1,132,634,0
141,2,29,1,1,0,1,0,1,1,0,1,59,7002,0
142,1,27,14,0,1,4,300,1,0,0,1,91,211,0
143,1,18,14,8,1,1,270,1,0,0,1,110,156,0
144,4,30,15,1,1,2,0,1,1,0,1,47,861,0
145,1,30,1,1,1,1,0,1,0,0,1,66,602,1
146,4,9,1,1,1,1,160,2,1,0,1,136,602,0
147,2,30,1,1,1,2,0,1,0,0,1,0,602,0
148,2,26,18,1,1,1,117,1,1,0,1,15,798,0
149,10,22,18,3,3,6,141,3,1,1,1,56,2801,0
150,1,30,14,8,1,8,260,1,0,0,1,208,149,0
151,6,3,14,1,1,3,150,6,0,0,1,111,696,0
152,2,29,16,1,1,1,0,1,0,0,1,121,344,0
153,2,0,1,1,1,1,0,1,0,0,0,38,688,0
154,5,30,15,,2,1,0,1,1,0,1,41,1095,0
155,5,13,10,1,1,3,100,3,0,1,1,441,978,1
156,12,9,10,2,4,4,100,3,0,1,1,347,1604,1
157,2,6,1,1,1,1,0,1,1,1,0,350,775,0
158,4,19,1,1,2,3,300,4,1,0,1,17,1799,0
159,2,0,1,1,1,1,0,1,0,0,1,1,790,0
160,1,17,142,1,1,1,0,1,0,0,1,1,243,0
161,2,0,14,1,,1,0,1,0,0,1,2,767,1
162,2,10,4,1,1,1,78,1,1,1,1,113,939,0
163,8,11,5,2,3,4,63,1,1,1,1,36,1846,0
164,2,23,13,1,0,2,0,1,1,1,1,87,313,0
165,2,0,14,1,,1,0,1,0,0,1,1,798,1
166,2,30,14,1,,1,0,1,0,0,1,3,798,1
167,2,30,14,1,,1,0,1,0,0,1,4,735,1
168,9,27,2,1,3,3,100,1,1,1,1,48,1197,0
169,1,29,142,,1,1,0,1,0,0,1,1,211,0
170,4,30,4,1,1,2,0,1,0,0,1,62,1299,0
171,3,30,4,1,1,1,200,3,0,0,1,30,1502,0
172,7,17,2,1,1,5,95,2,1,0,0,134,900,1
173,3,30,29,1,2,2,100,2,1,0,1,69,751,0
174,5,8,29,1,2,2,100,4,1,0,1,80,876,0
175,3,11,29,1,2,2,100,2,1,0,1,58,798,0
176,2,0,1,1.5,1,1,0,1,1,0,1,0,329,0
177,3,6,2,1,1,1,150,2,0,0,0,107,767,0
178,3,0,2,1,1,1,150,2,0,0,1,184,947,0
179,4,9,22,1,1,2,50,2,1,1,1,344,642,0
180,2,0,3,1,1,1,0,1,1,0,1,1,931,0
181,6,0,18,1,3,3,117,3,1,1,1,32,1784,0
182,8,0,8,1,2,3,200,2,0,0,1,0,1197,0
183,2,21,1,1,1,1,180,2,0,0,1,60,642,1
184,3,0,1,1,2,2,0,1,1,0,1,6,1001,0
185,3,27,4,1,1,2,100,3,0,0,0,108,1197,1
186,6,0,1,1,1,4,45,4,0,1,0,32,1604,0
187,2,0,1,1,0,1,0,1,1,1,1,92,915,0
188,1,30,1,1,1,1,0,1,0,0,1,1,751,0
189,2,0,14,1,,1,0,1,0,0,1,4,767,1
190,2,0,1,1,0,1,0,1,1,0,1,9,649,0
191,2,0,8,1,1,1,0,1,0,0,1,49,336,0
192,2,0,14,1,,1,0,1,0,0,1,5,735,1
193,7,30,18,3,3,5,141,3,1,0,1,22,2253,0
194,6,0,15,1,2,3,0,1,1,0,1,68,1095,0
195,2,0,1,1,1,2,80,1,0,0,1,3,548,0
196,7,27,2,1,2,4,100,1,1,1,1,201,1119,0
197,2,0,1,1,1,1,0,1,1,0,1,13,751,0
198,3,0,1,1,1,1,1500,3,1,0,0,7,900,0
199,1,18,1,1,1,1,102,1,1,0,1,404,688,1
200,7,30,18,3,3,5,141,3,1,0,1,25,2331,0
201,4,27,7,1,1,2,156,2,0,1,1,95,978,0
202,2,0,14,1,,1,0,1,0,0,0,6,735,1
203,16,28,18,4.5,7,9,117,7,1,0,1,38,4600,0
204,2,0,1,1,0,1,450,2,1,0,1,8,892,0
205,2,0,6,1,1,1,39,2,1,1,1,74,642,0
206,2,7,6,1,0,1,39,2,1,1,1,68,548,0
207,2,10,6,1,0,1,200,2,1,0,1,65,649,0
208,2,0,11,1,1,1,100,2,1,0,1,61,329,0
209,2,30,7,1.5,1,1,0,2,1,0,1,127,2003,0
210,2,30,7,1,0,1,0,2,1,0,1,77,1001,0
211,2,1,3,1,0,1,156,2,0,1,1,115,743,0
212,6,0,1,2,3,4,0,1,0,0,0,8,2746,0
213,4,0,1,1,2,2,0,4,0,0,1,17,3098,0
214,4,5,1,1,2,3,0,1,1,0,1,39,1400,0
